year,quarter,retail_sales_cad,retail_growth_yoy_pct,period_label
2019,1,51998333333.33,,Q1-2019
2019,2,52169666666.67,,Q2-2019
2019,3,52630666666.67,,Q3-2019
2019,4,52360333333.33,,Q4-2019
2020,1,50896000000.0,-2.1199,Q1-2020
2020,2,45458000000.0,-12.8651,Q2-2020
2020,3,54939666666.67,4.3872,Q3-2020
2020,4,55579666666.67,6.1484,Q4-2020
2021,1,55911666666.67,9.8547,Q1-2021
2021,2,55249666666.67,21.54,Q2-2021
2021,3,56769333333.33,3.3303,Q3-2021
2021,4,56752666666.67,2.1105,Q4-2021
2022,1,56500333333.33,1.0529,Q1-2022
2022,2,56452666666.67,2.1774,Q2-2022
2022,3,56415000000.0,-0.6242,Q3-2022
2022,4,56873666666.67,0.2132,Q4-2022
2023,1,57738000000.0,2.1905,Q1-2023
2023,2,57722000000.0,2.2485,Q2-2023
2023,3,57464666666.67,1.8606,Q3-2023
2023,4,58242000000.0,2.4059,Q4-2023
