year,quarter,nigeria_trade_real_growth_pct,nigeria_gdp_growth_pct,period_label
2019,1,0.8476,2.0992,Q1-2019
2019,2,-0.2496,2.1165,Q2-2019
2019,3,-1.4518,2.2829,Q3-2019
2019,4,-0.5805,2.5538,Q4-2019
2020,1,-2.8227,1.8696,Q1-2020
2020,2,-16.585,-6.104,Q2-2020
2020,3,-12.1235,-3.6208,Q3-2020
2020,4,-3.1999,0.1148,Q4-2020
2021,1,-2.4289,0.4098,Q1-2021
2021,2,22.4903,5.3584,Q2-2021
2021,3,11.9036,4.0659,Q3-2021
2021,4,5.3426,4.642,Q4-2021
2022,1,6.5445,3.6007,Q1-2022
2022,2,4.5129,3.3955,Q2-2022
2022,3,5.0816,2.3777,Q3-2022
2022,4,4.5438,3.6445,Q4-2022
2023,1,1.3066,2.3957,Q1-2023
2023,2,2.4141,2.648,Q2-2023
2023,3,1.5261,3.0871,Q3-2023
2023,4,1.3981,3.2099,Q4-2023
2024,1,1.2279,2.7947,Q1-2024
2024,2,0.7006,3.0077,Q2-2024
2024,3,0.6468,3.1214,Q3-2024
