observation_date,CANSLRTTO01MLSAM
01/01/1991,22476504764
01/02/1991,22125898062
01/03/1991,22344270040
01/04/1991,22616717895
01/05/1991,22473845295
01/06/1991,22609921474
01/07/1991,22234788554
01/08/1991,22449171329
01/09/1991,22380763869
01/10/1991,22587611481
01/11/1991,22449466826
01/12/1991,22341019578
01/01/1992,22466262975
01/02/1992,22591298197
01/03/1992,22528437460
01/04/1992,22772743384
01/05/1992,22629865593
01/06/1992,22795938721
01/07/1992,22784409678
01/08/1992,22779605910
01/09/1992,23001677250
01/10/1992,23128633980
01/11/1992,23026519594
01/12/1992,23081831553
01/01/1993,23403135018
01/02/1993,23240081401
01/03/1993,23292236599
01/04/1993,23677087054
01/05/1993,23509366920
01/06/1993,23304589145
01/07/1993,23657460230
01/08/1993,23705360661
01/09/1993,23740359544
01/10/1993,23813376820
01/11/1993,23844120936
01/12/1993,23988096731
01/01/1994,24197129271
01/02/1994,24721151753
01/03/1994,25284427884
01/04/1994,24945968104
01/05/1994,25139491335
01/06/1994,25224861158
01/07/1994,25041219964
01/08/1994,25106413960
01/09/1994,25138256081
01/10/1994,25657612045
01/11/1994,25603947092
01/12/1994,25840566987
01/01/1995,25479186370
01/02/1995,25347563122
01/03/1995,25225821912
01/04/1995,25208528347
01/05/1995,25240370467
01/06/1995,25381601251
01/07/1995,25406031844
01/08/1995,25776745496
01/09/1995,25524204541
01/10/1995,25295270675
01/11/1995,25429364432
01/12/1995,25558928922
01/01/1996,25512126495
01/02/1996,25674219358
01/03/1996,25651024020
01/04/1996,25430462436
01/05/1996,25336171329
01/06/1996,25668454836
01/07/1996,25612182123
01/08/1996,25749844394
01/09/1996,25782235517
01/10/1996,26016384902
01/11/1996,26407686132
01/12/1996,26291023191
01/01/1997,26466703855
01/02/1997,26843868282
01/03/1997,26703461001
01/04/1997,26792948339
01/05/1997,27007470901
01/06/1997,27110957792
01/07/1997,27357596975
01/08/1997,27068959133
01/09/1997,27315186565
01/10/1997,27525317109
01/11/1997,27601765649
01/12/1997,28637595316
01/01/1998,27375851294
01/02/1998,27995949140
01/03/1998,27917579093
01/04/1998,28482639480
01/05/1998,28385603363
01/06/1998,28037536047
01/07/1998,28158042003
01/08/1998,28020242481
01/09/1998,28363643280
01/10/1998,28190158624
01/11/1998,28427190271
01/12/1998,28429249028
01/01/1999,28759062026
01/02/1999,29053601640
01/03/1999,29090110278
01/04/1999,28786237629
01/05/1999,28676711714
01/06/1999,29102051073
01/07/1999,29257555911
01/08/1999,29640210359
01/09/1999,29610426996
01/10/1999,29509410614
01/11/1999,29704992604
01/12/1999,30054432425
01/01/2000,30192780949
01/02/2000,30029727332
01/03/2000,30382735667
01/04/2000,30110156136
01/05/2000,30334835236
01/06/2000,30327698209
01/07/2000,30874367027
01/08/2000,31003382515
01/09/2000,31215297316
01/10/2000,30859818472
01/11/2000,30757017833
01/12/2000,30813839548
01/01/2001,31205964281
01/02/2001,30890974339
01/03/2001,31006539277
01/04/2001,31272119031
01/05/2001,31282275569
01/06/2001,31163691121
01/07/2001,31195807742
01/08/2001,31319607711
01/09/2001,30659432714
01/10/2001,31384527206
01/11/2001,32228755149
01/12/2001,32729170542
01/01/2002,33199253570
01/02/2002,32818795131
01/03/2002,32666309804
01/04/2002,32792580282
01/05/2002,32538255070
01/06/2002,33043474231
01/07/2002,32858460531
01/08/2002,32912125484
01/09/2002,32755248141
01/10/2002,33100570447
01/11/2002,32840068962
01/12/2002,33050885759
01/01/2003,33219566647
01/02/2003,33655748797
01/03/2003,33421873912
01/04/2003,33377130243
01/05/2003,33680316640
01/06/2003,33829645204
01/07/2003,34072304122
01/08/2003,33999973099
01/09/2003,33664807331
01/10/2003,33748530148
01/11/2003,33659866312
01/12/2003,33278447120
01/01/2004,33728766073
01/02/2004,34476351167
01/03/2004,34433725701
01/04/2004,33921127150
01/05/2004,33909104582
01/06/2004,33911290504
01/07/2004,34031516177
01/08/2004,34351753651
01/09/2004,34787844956
01/10/2004,34874188848
01/11/2004,35135406447
01/12/2004,34794402720
01/01/2005,35481874977
01/02/2005,35934360692
01/03/2005,35337604169
01/04/2005,35134313486
01/05/2005,35254539159
01/06/2005,35863318248
01/07/2005,36046935640
01/08/2005,35514663797
01/09/2005,35062178082
01/10/2005,35626145785
01/11/2005,35950755102
01/12/2005,36117978083
01/01/2006,36513629843
01/02/2006,36826216593
